Platform,Type,Firm,Released,Units sold,Ref.
PlayStation 2,Home,Sony,2000,155 million,
Nintendo DS,Handheld,Nintendo,2004,154.02 million,
Nintendo Switch #,Hybrid,Nintendo,2017,122.55 million,
Game Boy & Game Boy Color,Handheld,Nintendo,"1989, 1998",118.69 million,
PlayStation 4 #,Home,Sony,2013,117.2 million,
PlayStation,Home,Sony,1994,102.49 million,
Wii,Home,Nintendo,2006,101.63 million,
PlayStation 3,Home,Sony,2006,87.4 million,
Xbox 360,Home,Microsoft,2005,84 million,
Game Boy Advance,Handheld,Nintendo,2001,81.51 million,
PlayStation Portable,Handheld,Sony,2004,80–82 million (estimate),
Nintendo 3DS,Handheld,Nintendo,2011,75.94 million,
NES/Famicom,Home,Nintendo,1983,61.91 million,
Xbox One,Home,Microsoft,2013,51–58.5 million (estimate),
SNES/Super Famicom,Home,Nintendo,1990,49.1 million,
Game & Watch,Handheld,Nintendo,1980,43.4 million,
Nintendo 64,Home,Nintendo,1996,32.93 million,
Sega Genesis/Mega Drive,Home,Sega,1988,30.75 million,
PlayStation 5 #,Home,Sony,2020,30 million,
Atari 2600,Home,Atari,1977,30 million,
Xbox,Home,Microsoft,2001,24 million,
GameCube,Home,Nintendo,2001,21.74 million,
Quest 2 #,VR Headset,Reality Labs / Meta,2020,~20 million,
Xbox Series X/S #,Home,Microsoft,2020,18.5 million (estimate),
Wii U,Home,Nintendo,2012,13.56 million,
PlayStation Vita,Handheld,Sony,2011,10–15 million (estimate),
Sega Master System,Home,Sega,1986,10–13 million,
Sega Game Gear,Handheld,Sega,1990,10.62 million,
PC Engine/TurboGrafx-16,Home,NEC/Hudson Soft,1987,10 million,
Sega Saturn,Home,Sega,1994,9.26 million,
Dreamcast,Home,Sega,1998,9.13 million,
Master System (Brazilian variants),Home,Tectoy,1989,8 million,
Dendy (Famiclone),Home,Micro Genius,1992,6 million,
Super NES Classic Edition,Dedicated,Nintendo,2017,5.28 million,
Famicom Disk System  •,Home console add-on,Nintendo,1986,4.5 million,
NES Classic Edition,Dedicated,Nintendo,2016,3.56 million,
WonderSwan,Handheld,Bandai,1999,3.5 million,
Sega Pico,Home,Sega,1993,3.4 million,
Color TV-Game,Dedicated,Nintendo,1977,3 million,
Intellivision,Home,Mattel,1980,3 million,
Mega Drive (Brazilian variants),Home,Tectoy,1990,3 million,
N-Gage,Handheld,Nokia,2003,3 million,
Sega CD  •,Home console add-on,Sega,1991,2.24 million,
ColecoVision,Home,Coleco,1982,2 million,
Magnavox Odyssey²,Home,Magnavox/Philips,1978,2 million,
PC Engine CD-ROM²  •,Home console add-on,NEC,1988,1.92 million,
Oculus Quest,VR Headset,Oculus,2019,"317,000–1 million (estimate)",
Atari 7800,Home,Atari,1986,1 million,
Atari Lynx,Handheld,Atari,1989,1 million,
Philips CD-i,Home,Philips,1990,1 million,
Telstar,Dedicated,Coleco,1976,1 million,
Atari 5200,Home,Atari,1982,1 million,
